BenchmarkSystemsWithPool/10_Vecs__1_Systems__1_Pool-10,1589505,743.4 ns/op
BenchmarkSystemsWithPool/100_Vecs__1_Systems__1_Pool-10,1000000,1119 ns/op
BenchmarkSystemsWithPool/1000_Vecs__1_Systems__1_Pool-10,316350,3807 ns/op
BenchmarkSystemsWithPool/10000_Vecs__1_Systems__1_Pool-10,37760,31782 ns/op
BenchmarkSystemsWithPool/50000_Vecs__1_Systems__1_Pool-10,8012,149200 ns/op
BenchmarkSystemsWithPool/10_Vecs__1_Systems__10_Pool-10,1532462,763.4 ns/op
BenchmarkSystemsWithPool/100_Vecs__1_Systems__10_Pool-10,1000000,1131 ns/op
BenchmarkSystemsWithPool/1000_Vecs__1_Systems__10_Pool-10,317865,3807 ns/op
BenchmarkSystemsWithPool/10000_Vecs__1_Systems__10_Pool-10,36727,31993 ns/op
BenchmarkSystemsWithPool/50000_Vecs__1_Systems__10_Pool-10,7984,149465 ns/op
BenchmarkSystemsWithPool/10_Vecs__10_Systems__1_Pool-10,306974,3867 ns/op
BenchmarkSystemsWithPool/100_Vecs__10_Systems__1_Pool-10,169993,7043 ns/op
BenchmarkSystemsWithPool/1000_Vecs__10_Systems__1_Pool-10,33722,35123 ns/op
BenchmarkSystemsWithPool/10000_Vecs__10_Systems__1_Pool-10,3681,323838 ns/op
BenchmarkSystemsWithPool/50000_Vecs__10_Systems__1_Pool-10,655,1708413 ns/op
BenchmarkSystemsWithPool/10_Vecs__10_Systems__10_Pool-10,228937,5250 ns/op
BenchmarkSystemsWithPool/100_Vecs__10_Systems__10_Pool-10,171080,6954 ns/op
BenchmarkSystemsWithPool/1000_Vecs__10_Systems__10_Pool-10,54111,21376 ns/op
BenchmarkSystemsWithPool/10000_Vecs__10_Systems__10_Pool-10,7339,162784 ns/op
BenchmarkSystemsWithPool/50000_Vecs__10_Systems__10_Pool-10,2018,589794 ns/op
BenchmarkSystemsWithPool/10_Vecs__100_Systems__1_Pool-10,32061,37189 ns/op
BenchmarkSystemsWithPool/100_Vecs__100_Systems__1_Pool-10,16603,72207 ns/op
BenchmarkSystemsWithPool/1000_Vecs__100_Systems__1_Pool-10,3387,351880 ns/op
BenchmarkSystemsWithPool/10000_Vecs__100_Systems__1_Pool-10,319,3650442 ns/op
BenchmarkSystemsWithPool/50000_Vecs__100_Systems__1_Pool-10,28,35859418 ns/op
BenchmarkSystemsWithPool/10_Vecs__100_Systems__10_Pool-10,22834,53348 ns/op
BenchmarkSystemsWithPool/100_Vecs__100_Systems__10_Pool-10,19291,67261 ns/op
BenchmarkSystemsWithPool/1000_Vecs__100_Systems__10_Pool-10,6381,200490 ns/op
BenchmarkSystemsWithPool/10000_Vecs__100_Systems__10_Pool-10,1156,931904 ns/op
BenchmarkSystemsWithPool/50000_Vecs__100_Systems__10_Pool-10,214,5038160 ns/op
BenchmarkSystemsWithPool/10_Vecs__10_Systems__100_Pool-10,224822,5247 ns/op
BenchmarkSystemsWithPool/100_Vecs__10_Systems__100_Pool-10,173407,7004 ns/op
BenchmarkSystemsWithPool/1000_Vecs__10_Systems__100_Pool-10,56574,22278 ns/op
BenchmarkSystemsWithPool/10000_Vecs__10_Systems__100_Pool-10,7339,160727 ns/op
BenchmarkSystemsWithPool/50000_Vecs__10_Systems__100_Pool-10,1694,693388 ns/op
BenchmarkSystemsWithPool/10_Vecs__100_Systems__100_Pool-10,18920,63350 ns/op
BenchmarkSystemsWithPool/100_Vecs__100_Systems__100_Pool-10,15768,72500 ns/op
BenchmarkSystemsWithPool/1000_Vecs__100_Systems__100_Pool-10,5898,209787 ns/op
BenchmarkSystemsWithPool/10000_Vecs__100_Systems__100_Pool-10,1640,718783 ns/op
BenchmarkSystemsWithPool/50000_Vecs__100_Systems__100_Pool-10,184,5615613 ns/op
